CustomerID,CustomerGender,CustomerCountry,CustomerAgeSegment,OfferId,OfferTransactionDate,TransactionAmount,Points,Accrual,Redemption,CustomerTier,OfferTier,CustomerAge,OfferTargetAge,OSD,OED
60129,M,,12 -20,O0100,2019-12-29,4800,300,0,1,B,Gold,18,12 -20,2019-10-01,2019-12-31
63563,F,,12 -20,O0100,2019-12-17,3900,300,1,0,B,Gold,18,12 -20,2019-10-01,2019-12-31
63563,F,,12 -20,O0101,2019-11-16,3300,300,1,0,B,Gold,18,12 -20,2019-10-01,2019-12-31
60421,F,,12 -20,O0100,2019-12-24,5400,300,0,1,B,Gold,17,12 -20,2019-10-01,2019-12-31
57914,M,IN,Below 12,O0095,2019-07-14,1000,50,0,1,B,Bronze,3,< 12,2019-07-01,2019-10-31
57914,M,IN,Below 12,O0014,2019-06-19,1100,100,1,0,B,Bronze,3,20-30,2019-04-01,2019-07-31
57914,M,IN,Below 12,O0093,2019-02-13,750,50,1,0,B,Bronze,3,All,2019-01-01,2019-03-31
57914,M,IN,Below 12,O0026,2019-01-01,1000,100,1,0,B,Bronze,3,All,2019-01-01,2019-05-31
57914,M,IN,Below 12,O0076,2019-02-23,1100,100,1,0,B,Bronze,3,All,2019-01-01,2019-03-31
57914,M,IN,Below 12,O0097,2020-01-21,4500,300,1,0,B,Gold,3,< 12,2019-12-01,2020-01-31
57914,M,IN,Below 12,O0021,2019-07-29,1100,100,1,0,B,Gold,3,All,2019-07-01,2019-12-31
57914,M,IN,Below 12,O0070,2019-03-05,4500,250,1,0,B,Gold,3,All,2019-01-01,2019-03-31
57914,M,IN,Below 12,O0080,2019-01-24,5400,300,1,0,B,Gold,3,All,2019-01-01,2019-03-31
57914,M,IN,Below 12,O0049,2019-07-03,20000,4000,1,0,B,Saphire,3,30 - 40,2019-06-01,2019-08-31
20752,F,IN,Above 65,O0094,2019-02-21,950,50,1,0,B,Bronze,78,All,2019-01-01,2019-03-31
47923,M,IN,20-30,O0010,2019-08-24,1400,100,1,0,B,Bronze,20,20-30,2019-06-01,2019-08-31
47923,M,IN,20-30,O0014,2019-07-21,1600,100,1,0,B,Bronze,20,20-30,2019-04-01,2019-07-31
47923,M,IN,20-30,O0027,2019-04-13,950,50,1,0,B,Bronze,20,All,2019-01-01,2019-05-31
47923,M,IN,20-30,O0042,2019-09-29,500,50,1,0,B,Bronze,20,All,2019-09-01,2019-10-31
47923,M,IN,20-30,O0087,2019-10-16,600,50,1,0,B,Bronze,20,All,2019-09-15,2019-12-31
47923,M,IN,20-30,O0094,2019-01-11,500,50,1,0,B,Bronze,20,All,2019-01-01,2019-03-31
47923,M,IN,20-30,O0015,2019-07-21,1000,100,0,1,B,Gold,20,20-30,2019-07-01,2019-08-31
47923,M,IN,20-30,O0053,2019-06-20,4250,250,1,0,B,Gold,20,40-65,2019-06-01,2019-08-31
47923,M,IN,20-30,O0070,2019-02-04,4750,250,1,0,B,Gold,20,All,2019-01-01,2019-03-31
47923,M,IN,20-30,O0079,2019-02-01,3600,300,1,0,B,Gold,20,All,2019-01-01,2019-03-31
47923,M,IN,20-30,O0080,2019-01-25,3900,300,1,0,B,Gold,20,All,2019-01-01,2019-03-31
47923,M,IN,20-30,O0002,2019-08-07,16000,4000,1,0,B,Saphire,20,30 - 40,2019-06-01,2019-08-31
48117,M,IN,20-30,O0012,2019-07-10,600,50,0,1,B,Bronze,20,20-30,2019-07-01,2019-10-31
48117,M,IN,20-30,O0057,2019-01-29,600,50,0,1,B,Bronze,20,20-30,2019-01-01,2019-03-31
48117,M,IN,20-30,O0010,2019-06-28,1800,100,1,0,B,Bronze,20,20-30,2019-06-01,2019-08-31
48117,M,IN,20-30,O0013,2019-07-06,1100,100,1,0,B,Bronze,20,20-30,2019-04-01,2019-07-31
48117,M,IN,20-30,O0014,2019-05-29,1700,100,1,0,B,Bronze,20,20-30,2019-04-01,2019-07-31
48117,M,IN,20-30,O0027,2019-04-14,850,50,1,0,B,Bronze,20,All,2019-01-01,2019-05-31
48117,M,IN,20-30,O0042,2019-10-02,650,50,1,0,B,Bronze,20,All,2019-09-01,2019-10-31
48117,M,IN,20-30,O0043,2019-10-07,550,50,1,0,B,Bronze,20,All,2019-09-01,2019-10-31
48117,M,IN,20-30,O0082,2019-12-23,850,50,1,0,B,Bronze,20,All,2019-09-15,2019-12-31
48117,M,IN,20-30,O0087,2019-12-21,900,50,1,0,B,Bronze,20,All,2019-09-15,2019-12-31
48117,M,IN,20-30,O0089,2019-03-15,1000,50,1,0,B,Bronze,20,All,2019-01-01,2019-03-31
48117,M,IN,20-30,O0015,2019-07-05,1300,100,1,0,B,Gold,20,20-30,2019-07-01,2019-08-31
48117,M,IN,20-30,O0052,2019-08-24,4250,250,1,0,B,Gold,20,All,2019-06-01,2019-08-31
48117,M,IN,20-30,O0070,2019-01-24,2500,250,1,0,B,Gold,20,All,2019-01-01,2019-03-31
48117,M,IN,20-30,O0071,2019-03-12,3300,300,0,1,B,Gold,20,All,2019-01-01,2019-03-31
48117,M,IN,20-30,O0079,2019-02-01,3600,300,1,0,B,Gold,20,All,2019-01-01,2019-03-31
48117,M,IN,20-30,O0080,2019-03-28,4500,300,1,0,B,Gold,20,All,2019-01-01,2019-03-31
56360,M,IN,20-30,O0057,2019-02-16,900,50,1,0,B,Bronze,20,20-30,2019-01-01,2019-03-31
56360,M,IN,20-30,O0010,2019-08-23,1200,100,1,0,B,Bronze,20,20-30,2019-06-01,2019-08-31
56360,M,IN,20-30,O0078,2019-02-07,850,50,0,1,B,Bronze,20,All,2019-01-01,2019-03-31
56360,M,IN,20-30,O0062,2019-06-27,3000,250,1,0,B,Gold,20,20-30,2019-06-01,2019-08-31
59336,M,IN,20-30,O0012,2019-07-27,950,50,1,0,B,Bronze,20,20-30,2019-07-01,2019-10-31
59336,M,IN,20-30,O0060,2019-01-20,750,50,1,0,B,Bronze,20,20-30,2019-01-01,2019-03-31
59336,M,IN,20-30,O0010,2019-07-23,1500,100,1,0,B,Bronze,20,20-30,2019-06-01,2019-08-31
