,OfferId,OfferName,OfferType,OfferCategory,OfferContent,OfferChannel,Points,ExclusionCategory,BenefitType,PointType,ProgramCode,ProgramName,ProgramTier,ProgramPointType,ProductCategory,ProductCode,ProductName,Season,Month,WeekDay,Holiday,WeekEnd,BirthDay,WeddingAnniversary ,Duration,StartDate,EndDate,Unnamed: 27,PartnerCategory,PartnerCode,PartnerName,PartnerType,TargetedAge,Targetted Nationality,Targetted Preference Group,TargetedGender,Targetted Type,TargetedTier,Targetted Channel,TargetedMaritalStatus,DiscountPercentage
0,O0001,Early Access Offer,Accruals ,Promotions,New Product that’s not officially Launched,Loyalty  Portal,50.0,,Points,Loyalty Bonus Status Credits,EAP,Early Access Program,Bronze,TLBS,,P045,New Launches,Summer 2020,April ,,,,,,,2019-06-01,2019-08-31,,Air,QF,Qantas Airways,,40-65,Europe,Corporates,All,,Bronze,Loyalty  Portal,Both,0
1,O0002,"40,00 Bonus Points  with AMEx Saphire Card",Accruals ,Promotions,"40,00 Bonus Points [Highest EVER Bonus]  with AMEx Saphire Card",Web,4000.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Saphire,,,P019,Credit Card Offer,Summer 2020,May,,,,,,,2019-06-01,2019-08-31,,Non Air,AMEX,American Express,Credit Card,30 - 40,US,Individuals,All,,Saphire,Web,Both,0
2,O0003," 60,00 Rewards points  with AMEx Platinum Card",Accruals ,Promotions,"Earn 60,000 Membership Rewards points  with AMEx Platinum Card",Web,6000.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,,P019,Credit Card Offer,Summer 2021,May,,,,,,,2019-06-01,2019-08-31,,Non Air,AMEX,American Express,Credit Card,All,US,Individuals,All,,Platinum,Web,All,0
3,O0004,"35,00  Rewards points with AMEx Gold Card",Accruals ,Promotions,"Earn 35,00 Membership Rewards points with AMEx Gold Card",Web,3500.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,,P019,Credit Card Offer,Summer 2022,May,,,,,,,2019-06-01,2019-08-31,,Non Air,AMEX,American Express,Credit Card,All,US,Individuals,All,,Gold,Web,All,0
4,O0005,Member Only - Early Birds 50,Redemption,Promotions,Redeem new products listed exclusively for members- First 50,"Mobile App, SMS",100.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Gold,,,P043,Member Only Offers,Fall 2020,Dec,,New Year,,,,,2019-06-01,2019-08-31,,Air,Luftansa,Luftansa,Airlines,All,US,Corporates,All,,Gold,"Mobile App, SMS",All,0
5,O0006,Member Only - Spring 20,Redemption,Promotions,Redeem new products listed exclusively for members - Sprint Sale 2020,"Mobile App, SMS",200.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Gold,,,P043,Member Only Offers,Fall 2020,Dec,,,,,,,2019-06-01,2019-08-31,,Air,Luftansa,Luftansa,Airlines,40-65,US,Individuals,All,,Gold,"Mobile App, SMS",All,0
6,O0007,Member Only - Thanks Giving 20,Redemption,Promotions,Redeem new products listed exclusively for members - Thanks Giving sale 2020,"Mobile App, SMS",200.0,,Points,,FFP,Frequent Flyer Program,Gold,,,P043,Member Only Offers,,,,,,,,,2019-06-01,2019-08-31,,Air,,,,All,US,,,,Gold,"Mobile App, SMS",All,0
7,O0008,Member Only - Independence Day,Redemption,Promotions,Redeem new products listed exclusively for members - Independence day sale,"Mobile App, SMS",300.0,,Points,,FFP,Frequent Flyer Program,Gold,,,P043,Member Only Offers,,,,,,,,,2019-06-01,2019-08-31,,Air,,,,All,,,,,Gold,"Mobile App, SMS",All,0
8,O0009,Member Only - Fun 50,Redemption,Promotions,Redeem new products listed exclusively for members,"Mobile App, SMS",300.0,,Points,,FFP,Frequent Flyer Program,Gold,,,P043,Member Only Offers,,,,,,,,,2019-06-01,2019-08-31,,Air,,,,All,,,,,Gold,"Mobile App, SMS",All,0
9,O0010,Join the world for 50,,Coupons,Create an account gain 50 points,Web,100.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P054,Refer a friend,,,,,,,,,2019-06-01,2019-08-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,Web,All,0
