,CustomerID,OfferId,OfferTransactionDate,TransactionAmount,Points,Accrual,Redemption,CustomerTier,OfferTier,CustomerAge,OfferTargetAge,OSD,OED
0,57914,O0095,2019-07-14,1000,50,0,1,B,Bronze,3,< 12,2019-07-01,2019-10-31
1,57914,O0014,2019-06-19,1100,100,1,0,B,Bronze,3,20-30,2019-04-01,2019-07-31
2,57914,O0093,2019-02-13,750,50,1,0,B,Bronze,3,All,2019-01-01,2019-03-31
3,57914,O0026,2019-01-01,1000,100,1,0,B,Bronze,3,All,2019-01-01,2019-05-31
4,57914,O0076,2019-02-23,1100,100,1,0,B,Bronze,3,All,2019-01-01,2019-03-31
5,60006,O0011,2019-07-01,800,50,1,0,B,Bronze,20,20-30,2019-07-01,2019-10-31
6,60193,O0011,2019-07-20,950,50,0,1,B,Bronze,20,20-30,2019-07-01,2019-10-31
7,48117,O0012,2019-07-10,600,50,0,1,B,Bronze,20,20-30,2019-07-01,2019-10-31
8,59336,O0012,2019-07-27,950,50,1,0,B,Bronze,20,20-30,2019-07-01,2019-10-31
9,60193,O0012,2019-10-20,600,50,1,0,B,Bronze,20,20-30,2019-07-01,2019-10-31
10,48117,O0057,2019-01-29,600,50,0,1,B,Bronze,20,20-30,2019-01-01,2019-03-31
11,56360,O0057,2019-02-16,900,50,1,0,B,Bronze,20,20-30,2019-01-01,2019-03-31
12,60006,O0057,2019-01-08,900,50,0,1,B,Bronze,20,20-30,2019-01-01,2019-03-31
13,60006,O0058,2019-02-08,600,50,1,0,B,Bronze,20,20-30,2019-01-01,2019-03-31
14,60193,O0058,2019-02-26,600,50,0,1,B,Bronze,20,20-30,2019-01-01,2019-03-31
15,61099,O0058,2019-02-16,900,50,1,0,B,Bronze,20,20-30,2019-01-01,2019-03-31
16,61160,O0058,2019-01-15,600,50,0,1,B,Bronze,20,20-30,2019-01-01,2019-03-31
17,61100,O0059,2019-01-12,900,50,1,0,B,Bronze,20,20-30,2019-01-01,2019-03-31
18,61160,O0059,2019-03-10,950,50,1,0,B,Bronze,20,20-30,2019-01-01,2019-03-31
19,59336,O0060,2019-01-20,750,50,1,0,B,Bronze,20,20-30,2019-01-01,2019-03-31
20,47923,O0010,2019-08-24,1400,100,1,0,B,Bronze,20,20-30,2019-06-01,2019-08-31
21,48117,O0010,2019-06-28,1800,100,1,0,B,Bronze,20,20-30,2019-06-01,2019-08-31
22,56360,O0010,2019-08-23,1200,100,1,0,B,Bronze,20,20-30,2019-06-01,2019-08-31
23,59336,O0010,2019-07-23,1500,100,1,0,B,Bronze,20,20-30,2019-06-01,2019-08-31
24,60193,O0010,2019-07-08,2000,100,0,1,B,Bronze,20,20-30,2019-06-01,2019-08-31
25,48117,O0013,2019-07-06,1100,100,1,0,B,Bronze,20,20-30,2019-04-01,2019-07-31
26,47923,O0014,2019-07-21,1600,100,1,0,B,Bronze,20,20-30,2019-04-01,2019-07-31
27,48117,O0014,2019-05-29,1700,100,1,0,B,Bronze,20,20-30,2019-04-01,2019-07-31
28,59336,O0014,2019-06-18,1000,100,0,1,B,Bronze,20,20-30,2019-04-01,2019-07-31
29,61100,O0014,2019-06-27,1300,100,1,0,B,Bronze,20,20-30,2019-04-01,2019-07-31
30,60006,O0061,2019-02-22,1800,100,1,0,B,Bronze,20,20-30,2019-01-01,2019-03-31
31,60193,O0061,2019-03-10,1100,100,0,1,B,Bronze,20,20-30,2019-01-01,2019-03-31
32,59336,O0001,2019-07-14,550,50,1,0,B,Bronze,20,40-65,2019-06-01,2019-08-31
33,47923,O0027,2019-04-13,950,50,1,0,B,Bronze,20,All,2019-01-01,2019-05-31
34,48117,O0027,2019-04-14,850,50,1,0,B,Bronze,20,All,2019-01-01,2019-05-31
35,60193,O0028,2019-04-23,750,50,1,0,B,Bronze,20,All,2019-01-01,2019-05-31
36,61100,O0028,2019-05-08,500,50,1,0,B,Bronze,20,All,2019-01-01,2019-05-31
37,47923,O0042,2019-09-29,500,50,1,0,B,Bronze,20,All,2019-09-01,2019-10-31
38,48117,O0042,2019-10-02,650,50,1,0,B,Bronze,20,All,2019-09-01,2019-10-31
39,48117,O0043,2019-10-07,550,50,1,0,B,Bronze,20,All,2019-09-01,2019-10-31
40,56360,O0078,2019-02-07,850,50,0,1,B,Bronze,20,All,2019-01-01,2019-03-31
41,59336,O0078,2019-02-06,850,50,1,0,B,Bronze,20,All,2019-01-01,2019-03-31
42,61100,O0078,2019-03-08,750,50,1,0,B,Bronze,20,All,2019-01-01,2019-03-31
43,48117,O0082,2019-12-23,850,50,1,0,B,Bronze,20,All,2019-09-15,2019-12-31
44,47923,O0087,2019-10-16,600,50,1,0,B,Bronze,20,All,2019-09-15,2019-12-31
