,CustomerID,Recency,Frequency,MonetaryValue,R,F,M,RFM_Segment_Concat,RFM_Score,OfferId,OfferName,OfferType,Offer Category,OfferContent,Offer Channel,Points_x,ExclusionCategory,BenefitType,Point Type,Program Code,Program Name,ProgramTier,Program Point Type,Product Category,Product Code,Product Name,Season,Month,Week Day,Holiday,Week End,Birth Day,Wedding Anniversary ,Duration,Start Date,End Date,Partner Category,Partner Code,Partner Name,Partner Type,Targetted Nationality,Targetted Preference Group,Targetted Type,Targetted Channel,CustomerGender,CustomerCountry,OfferTransactionDate,TransactionAmount,Points_y,Accrual,Redemption,CustomerTier,OfferTier,CustomerAge,OSD,OED,InvoiceDate
0,311,11,7,43250,4,2,3,423,9.0,O0011,1 point per $1 ,,Coupons,Make a purchase 1 point per $1 . Earn point for every Dollar you spend,Web,50,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,,Redeem offers,,,,,,,,,2019-07-01,2019-10-31,Non Air,WLFF,WeLoveFunFit,E-commerce,US,New Subscribers  - Individuals,,web,F,AU,2019-08-25,850,50,1,0,Saphire,Bronze,29,2019-07-01,2019-10-31,2019-08-25
1,311,11,7,43250,4,2,3,423,9.0,O0029,JULY 4 15,,Discounts,Upto 15% off on Flight Fees,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,,,Holiday,July,1.0,Independence Day,,,,,2019-07-01,2019-07-31,Air,LF,Luftanza,Air,US,Individuals,,web,F,AU,2019-07-23,1600,100,1,0,Saphire,Bronze,29,2019-07-01,2019-07-31,2019-07-23
2,311,11,7,43250,4,2,3,423,9.0,O0015,30$ off 280 points,Redemption,Discounts,Redeem points for discounts,Web,100,,Discounts,,FFP,Frequent Flyer Program,Gold,,,,Redeem offers,,,,,,,,,2019-07-01,2019-08-31,Non Air,WLFF,WeLoveFunFit,E-commerce,US,New Subscribers  - Individuals,,web,F,AU,2019-08-07,1900,100,1,0,Saphire,Gold,29,2019-07-01,2019-08-31,2019-08-07
3,311,11,7,43250,4,2,3,423,9.0,O0105,SeniorGoRelax Winter30,,Discounts,Guests' age 65 and older are eligible for  30% discount for select Hotel rooms and Cabs,Mobile,300,Not for below 55 years,Discounts,Senior Citizens Offers,SCO,Frequent Flyer Program,Gold,,,SCO,Senior Citizens Discounts,Winter,,,,,Birthday,,,2019-12-01,2020-01-31,Non Air,MM,Marriot,Hotel,US,Senior Citizens,,Web,F,AU,2020-01-21,5400,300,1,0,Saphire,Gold,29,2019-12-01,2020-01-31,2020-01-21
4,311,11,7,43250,4,2,3,423,9.0,O0034,Earn 50k Bonus Miles,,Points,"Earn 50,000 bonus miles when you book a vacation to Paris  with ABC Card",Web,5000,,points,,FFP,Frequent Flyer Program,Platinum,,,,,,,,,,,,,2019-06-01,2019-08-31,Air,AA,ABC Card,Credit Card,US,Individuals,,,F,AU,2019-08-06,15000,5000,1,0,Saphire,Platinum,29,2019-06-01,2019-08-31,2019-08-06
5,311,11,7,43250,4,2,3,423,9.0,O0037,Celebrate Summer Sale 40,,Discounts,Save $40/night to all destinations,Social Media,500,,Discounts,,FFP,Frequent Flyer Program,Platinum,,,AA,American,Holiday,,,Summer,,,,,2019-06-01,2019-08-31,Air,AM,Americal Airways,Air,US,Individuals,,,F,AU,2019-06-11,8500,500,1,0,Saphire,Platinum,29,2019-06-01,2019-08-31,2019-06-11
6,311,11,7,43250,4,2,3,423,9.0,O0054,Member Only - Fun 50 Platinum,,Promotions,Redeem new products listed exclusively for Platinummembers ,Mobile,500,,Discounts,,FFP,Frequent Flyer Program,Platinum,,,MM-O3,Member Only Offers,Summer 2020,April ,,,,,,,2019-01-01,2019-03-31,Non Air,,,,,,,,F,AU,2019-01-18,10000,500,1,0,Saphire,Platinum,29,2019-01-01,2019-03-31,2019-01-18
7,3404,39,6,22300,3,1,1,311,5.0,O0016,Target 10,,Discounts,10% Discount on your next Target Store Visit,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,,Target Discounts,,,,,,,,,2019-07-01,2019-08-31,,TC,Target Corp,Retail,,,,,M,AG,2019-07-16,1300,100,0,1,Gold,Bronze,5,2019-07-01,2019-08-31,2019-07-16
8,3404,39,6,22300,3,1,1,311,5.0,O0020,Walmart 15,,Discounts,15% Discount on your next Walmart Store Visit,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,,walmart discounts,,,,,,,,,2019-07-01,2019-12-31,,TC,Walmart Corp,Retail,,,,,M,AG,2019-12-24,1000,100,1,0,Gold,Bronze,5,2019-07-01,2019-12-31,2019-12-24
9,3404,39,6,22300,3,1,1,311,5.0,O0104,SeniorLadies Winter30,,Discounts,Guests' age 65 and older are eligible for  30% discount for select Hotel rooms.,Mobile,300,Not for below 55 years,Discounts,Senior Citizens Offers,SCO,Frequent Flyer Program,Gold,,,SCO,Senior Citizens Discounts,Winter,,,,,Birthday,,,2019-12-01,2020-01-31,Non Air,MM,Marriot,Hotel,US,Senior Citizens,,Web,M,AG,2019-12-01,3600,300,1,0,Gold,Gold,5,2019-12-01,2020-01-31,2019-12-01
10,3404,39,6,22300,3,1,1,311,5.0,O0005,Member Only - Early Birds 50,Accruals ,Promotions,Redeem new products listed exclusively for members- First 50,Mobile,100,,Points,Promotional Status Credits,PSC,Points Related Promotions,Gold,,,,Member Only Offers,Fall 2020,Dec,,New Year,,,,,2019-06-01,2019-08-31,Air,Luftansa,Luftansa,Airlines,US,Corporates,,Mobile,M,AG,2019-07-10,1400,100,1,0,Gold,Gold,5,2019-06-01,2019-08-31,2019-07-10
11,3404,39,6,22300,3,1,1,311,5.0,O0008,Member Only - Independence Day,Accruals ,Promotions,Redeem new products listed exclusively for members - Independence day sale,Mobile,300,,Points,,FFP,Frequent Flyer Program,Gold,,,,Member Only Offers,,,,,,,,,2019-06-01,2019-08-31,Air,,,,,,,,M,AG,2019-08-05,3000,300,1,0,Gold,Gold,5,2019-06-01,2019-08-31,2019-08-05
12,3404,39,6,22300,3,1,1,311,5.0,O0002,"40,00 Bonus Points  with AMEx Saphire Card",Accruals ,Promotions,"40,00 Bonus Points [Highest EVER Bonus]  with AMEx Saphire Card",Web,4000,,Points,Promotional Status Credits,PSC,Points Related Promotions,Saphire,,,CCP-S,Credit Card Offer,Summer 2020,May,,,,,,,2019-06-01,2019-08-31,Non Air,AMEX,American Express,Credit Card,US,Individuals,,Credit Card,M,AG,2019-08-14,12000,4000,1,0,Gold,Saphire,5,2019-06-01,2019-08-31,2019-08-14
13,3412,148,7,20350,1,2,1,121,4.0,O0001,Early Access Offer,Accruals ,Promotions,New Product that’s not officially Launched,Loyalty Membership,50,,Points,Loyalty Bonus Status Credits,EAP,Early Access Program,Bronze,TLBS,,P1,Product 1,Summer 2020,April ,,,,,,,2019-06-01,2019-08-31,Air,QF,Qantas Airways,,Europe,Corporates,,Credit Card,F,IN,2019-06-17,600,50,1,0,Bronze,Bronze,61,2019-06-01,2019-08-31,2019-06-17
