"id","customer_id","offer_id","offer_transaction_date","transaction_amount","points","accrual","redemption","customer_tier","offer_tier","target_customer_age_segment","offer_target_age","osd","oed"
1,"1582","O0201","2/4/2020",156.37,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
2,"63","O0062","7/4/2019",59.49,,0,1,,,"36-45",,"6/1/2019","8/31/2019"
3,"2","O0020","7/28/2019",106.5,,1,0,,,"26-35",,"7/1/2019","12/31/2019"
4,"1582","O0177","3/6/2020",53.43,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
5,"1581","O0212","3/6/2020",35.62,,1,0,,,"26-35",,"1/1/2020","3/31/2020"
6,"2","O0129","7/28/2019",71.24,,0,1,,,"26-35",,"4/1/2020","7/31/2020"
7,"2","O0237","7/28/2019",149.25,,1,0,,,"26-35",,"3/1/2020","7/31/2020"
8,"14","O0115","7/24/2020",59.49,,1,0,,,"26-35",,"6/1/2020","8/31/2020"
9,"2","O0221","10/2/2020",80.14,,1,0,,,"26-35",,"7/1/2020","10/31/2020"
10,"2","O0133","7/10/2020",35.26,,1,0,,,"26-35",,"7/1/2020","8/31/2020"
11,"23","O0115","7/4/2020",70.88,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
12,"2","O0137","12/22/2020",102.59,,1,0,,,"26-35",,"7/1/2020","12/31/2020"
13,"2","O0138","11/29/2020",71.24,,0,1,,,"26-35",,"7/1/2020","12/31/2020"
14,"1581","O0182","3/6/2020",89.05,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
15,"1581","O0169","3/6/2020",70.88,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
16,"1581","O0167","3/6/2020",14.25,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
17,"72","O0062","8/4/2019",127.52,,0,1,,,"26-35",,"6/1/2019","8/31/2019"
18,"87","O0062","7/26/2019",59.49,,0,1,,,"46-55",,"6/1/2019","8/31/2019"
19,"28","O0140","12/27/2020",131.79,,0,1,,,"46-55",,"9/1/2020","12/31/2020"
20,"5","O0025","4/8/2019",142.48,,1,0,,,"26-35",,"1/1/2019","5/31/2019"
21,"5","O0110","5/24/2019",106.86,,1,0,,,"26-35",,"3/1/2019","7/31/2019"
22,"1580","O0183","3/6/2020",85.13,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
23,"1580","O0144","3/6/2020",56.64,,1,0,,,"26-35",,"1/2/2020","5/31/2020"
24,"1579","O0216","3/6/2020",73.73,,1,0,,,"46-55",,"1/2/2020","3/31/2020"
25,"1579","O0214","3/6/2020",73.73,,1,0,,,"46-55",,"1/1/2020","3/31/2020"
26,"1579","O0202","3/6/2020",73.73,,1,0,,,"46-55",,"1/2/2020","3/31/2020"
27,"5","O0128","8/24/2020",56.64,,0,1,,,"26-35",,"4/1/2020","7/31/2020"
28,"23","O0115","8/16/2020",92.26,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
29,"5","O0134","8/24/2020",56.64,,1,0,,,"26-35",,"7/1/2020","8/31/2020"
30,"5","O0155","8/24/2020",53.07,,1,0,,,"26-35",,"7/1/2020","10/31/2020"
31,"7","O0016","8/24/2020",60.2,,1,0,,,"26-35",,"7/1/2019","8/31/2019"
32,"1579","O0199","3/6/2020",95.11,,1,0,,,"46-55",,"1/2/2020","3/31/2020"
33,"1579","O0191","3/6/2020",117.19,,0,1,,,"46-55",,"1/2/2020","3/31/2020"
34,"1579","O0173","3/6/2020",159.93,,0,1,,,"46-55",,"1/2/2020","3/31/2020"
35,"1579","O0173","3/6/2020",73.73,,0,1,,,"46-55",,"1/2/2020","3/31/2020"
36,"46","O0115","8/25/2020",21.37,,1,0,,,"70+",,"6/1/2020","8/31/2020"
37,"50","O0140","11/25/2020",45.95,,0,1,,,"46-55",,"9/1/2020","12/31/2020"
38,"9","O0048","8/24/2020",7.12,,1,0,,,"36-45",,"1/1/2019","3/31/2019"
39,"9","O0013","6/19/2019",160.29,,1,0,,,"36-45",,"4/1/2019","7/31/2019"
40,"1579","O0159","3/6/2020",70.53,,1,0,,,"46-55",,"1/2/2020","3/31/2020"
41,"63","O0115","6/11/2020",277.12,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
42,"68","O0140","10/13/2020",3.56,,0,1,,,"46-55",,"9/1/2020","12/31/2020"
43,"11","O0013","7/25/2019",53.43,,1,0,,,"70+",,"4/1/2019","7/31/2019"
