,OfferId,OfferName1,OfferName2,Unnamed: 3,image url construction,Image URL,Offer Type,Offer Category,OfferName3,OfferContent,Offer Channel,miles,Exclusion Category,Benefit Type,Point Type,Program Code,Program Name,Program Tier,Program Point Type,Product Category,Product Code,Product Name,Season,Month,Week Day,Holiday,Week End,Birth Day,Wedding Anniversary ,Duration,Start Date,End Date,Partner Category,Partner Code,Partner Name,Partner Type,Targeted Age,Targeted Nationality,Targeted Preference Group,Targeted Gender,Targeted Type,Targeted Tier,Targeted Channel,Targeted Marital Status
0,O0099,Wherever Family. 15% off at THEWORKS for Family entries,Wherever Family,https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0099.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0099.PNG,,Discounts,15% off at THEWORKS for Family entries,15% off at THEWORKS for Family entries,web,300.0,not for below 18 years,Discounts,Kids Offers,KC,Kids Club,Gold,,,OCK,Oryx Cards Kids Club,All,,,,,Birthday,,,2019-10-01,2019-12-31,Non Air,ORX,Oryx,Credit Card,12 -20,US,Kids,All,,Gold,Web,Single
1,O0002,,"40,00 Bonus miles  with AmEx Sapphire Card",https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,Accruals ,Promotions,,"40,00 Bonus miles [Highest EVER Bonus]  with AmEx Sapphire Card",Web,4000.0,,miles,Promotional Status Credits,PSC,miles Related Promotions,Sapphire,,,CCP-S,Credit Card Offer,Summer 2020,May,,,,,,,2019-06-01,2019-08-31,Non Air,AMEX,American Express,Credit Card,30 - 40,US,Individuals,All,,Sapphire,Credit Card,Both
2,O0003,," 60,00 Rewards miles  with AmEx Platinum Card",https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0003.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0003.PNG,Accruals ,Promotions,,"Earn 60,000 Membership Rewards miles  with AmEx Platinum Card",Web,6000.0,,miles,Promotional Status Credits,PSC,miles Related Promotions,Platinum,,,CCP-P,Credit Card Offer,Summer 2021,May,,,,,,,2019-06-01,2019-08-31,Non Air,AMEX,American Express,Credit Card,All,US,Individuals,All,,Platinum,Credit Card,All
3,O0004,,"35,00  Rewards miles with AmEx Gold Card",https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0004.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0004.PNG,Accruals ,Promotions,,"Earn 35,00 Membership Rewards miles with AmEx Gold Card",Web,3500.0,,miles,Promotional Status Credits,PSC,miles Related Promotions,Platinum,,,CCP-G,Credit Card Offer,Summer 2022,May,,,,,,,2019-06-01,2019-08-31,Non Air,AMEX,American Express,Credit Card,All,US,Individuals,All,,Gold,Credit Card,All
4,O0021,Walmart 25. Get 25% Discount on spending 100 USD,Walmart 25,https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0021.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0021.PNG,,Discounts,Get 25% Discount on spending 100 USD,Get 25% Discount on spending 100 USD,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,,,Walmart discounts,,,,,,,,,2019-07-01,2019-12-31,Non Air,TC,Walmart Corp,Retail,All,US,Individuals,All,,Gold,web,All
5,O0006,,Member Only - Spring 20,https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0006.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0006.PNG,Accruals ,Promotions,,Redeem new products listed exclusively for members - Sprint Sale 2020,Mobile,200.0,,miles,Promotional Status Credits,PSC,miles Related Promotions,Gold,,,,Member Only Offers,Fall 2020,Dec,,,,,,,2019-06-01,2019-08-31,Air,Lufthansa,Lufthansa,Airlines,40-65,US,Individuals,All,,Gold,,All
6,O0007,,Member Only - Thanks Giving 20,https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0007.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0007.PNG,Accruals ,Promotions,,Redeem new products listed exclusively for members - Thanks Giving sale 2020,Mobile,200.0,,miles,,FFP,Frequent Flyer Program,Gold,,,,Member Only Offers,,,,,,,,,2019-06-01,2019-08-31,Air,,,,All,,,,,Gold,,All
7,O0008,,Member Only - Independence Day,https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0008.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0008.PNG,Accruals ,Promotions,,Redeem new products listed exclusively for members - Independence day sale,Mobile,300.0,,miles,,FFP,Frequent Flyer Program,Gold,,,,Member Only Offers,,,,,,,,,2019-06-01,2019-08-31,Air,,,,All,,,,,Gold,,All
8,O0020,Walmart 15. 15% Discount on your next Walmart Store Visit,Walmart 15,https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0020.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0020.PNG,,Discounts,15% Discount on your next Walmart Store Visit,15% Discount on your next Walmart Store Visit,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,,Walmart discounts,,,,,,,,,2019-07-01,2019-12-31,,TC,Walmart Corp,Retail,All,,,,,Bronze,,All
9,O0019,Walmart 10. 10% Discount on your next Walmart Store Visit,Walmart 10,https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0019.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0019.PNG,,Discounts,10% Discount on your next Walmart Store Visit,10% Discount on your next Walmart Store Visit,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,,Walmart discounts,,,,,,,,,2019-07-01,2019-12-31,,TC,Walmart Corp,Retail,All,,,,,Bronze,,All
