OfferId,OfferName1,OfferName2,Unnamed: 3,image url construction,Image URL,Offer Type,Offer Category,OfferName3,OfferContent,Offer Channel,miles,Exclusion Category,Benefit Type,Point Type,Program Code,Program Name,Program Tier,Program Point Type,Product Category,Product Code,Product Name,Season,Month,Week Day,Holiday,Week End,Birth Day,Wedding Anniversary ,Duration,Start Date,End Date,Partner Category,Partner Code,Partner Name,Partner Type,Targeted Channel,CustomerID,CustomerGender,CustomerCountry,OfferTransactionDate,TransactionAmount,Points,Accrual,Redemption,CustomerTier,OfferTier,CustomerAge,OfferStartingDate,OfferEndDate
O0099,Wherever Family. 15% off at THEWORKS for Family entries,Wherever Family,https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0099.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0099.PNG,,Discounts,15% off at THEWORKS for Family entries,15% off at THEWORKS for Family entries,web,300,not for below 18 years,Discounts,Kids Offers,KC,Kids Club,Gold,,,OCK,Oryx Cards Kids Club,All,,,,,Birthday,,,2019-10-01,2019-12-31,Non Air,ORX,Oryx,Credit Card,Web,55953,F,,2019-12-15,3900,300,1,0,Gold,Gold,15,2019-10-01,2019-12-31
O0099,Wherever Family. 15% off at THEWORKS for Family entries,Wherever Family,https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0099.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0099.PNG,,Discounts,15% off at THEWORKS for Family entries,15% off at THEWORKS for Family entries,web,300,not for below 18 years,Discounts,Kids Offers,KC,Kids Club,Gold,,,OCK,Oryx Cards Kids Club,All,,,,,Birthday,,,2019-10-01,2019-12-31,Non Air,ORX,Oryx,Credit Card,Web,65266,M,,2019-10-04,5100,300,1,0,Platinum,Gold,15,2019-10-01,2019-12-31
O0099,Wherever Family. 15% off at THEWORKS for Family entries,Wherever Family,https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0099.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0099.PNG,,Discounts,15% off at THEWORKS for Family entries,15% off at THEWORKS for Family entries,web,300,not for below 18 years,Discounts,Kids Offers,KC,Kids Club,Gold,,,OCK,Oryx Cards Kids Club,All,,,,,Birthday,,,2019-10-01,2019-12-31,Non Air,ORX,Oryx,Credit Card,Web,58773,M,,2019-12-05,3300,300,0,1,Saphire,Gold,14,2019-10-01,2019-12-31
O0002,,"40,00 Bonus miles  with AmEx Sapphire Card",https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,Accruals ,Promotions,,"40,00 Bonus miles [Highest EVER Bonus]  with AmEx Sapphire Card",Web,4000,,miles,Promotional Status Credits,PSC,miles Related Promotions,Sapphire,,,CCP-S,Credit Card Offer,Summer 2020,May,,,,,,,2019-06-01,2019-08-31,Non Air,AMEX,American Express,Credit Card,Credit Card,47923,M,IN,2019-08-07,16000,4000,1,0,Bronze,Saphire,20,2019-06-01,2019-08-31
O0002,,"40,00 Bonus miles  with AmEx Sapphire Card",https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,Accruals ,Promotions,,"40,00 Bonus miles [Highest EVER Bonus]  with AmEx Sapphire Card",Web,4000,,miles,Promotional Status Credits,PSC,miles Related Promotions,Sapphire,,,CCP-S,Credit Card Offer,Summer 2020,May,,,,,,,2019-06-01,2019-08-31,Non Air,AMEX,American Express,Credit Card,Credit Card,61099,M,IN,2019-08-30,20000,4000,1,0,Bronze,Saphire,20,2019-06-01,2019-08-31
O0002,,"40,00 Bonus miles  with AmEx Sapphire Card",https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,Accruals ,Promotions,,"40,00 Bonus miles [Highest EVER Bonus]  with AmEx Sapphire Card",Web,4000,,miles,Promotional Status Credits,PSC,miles Related Promotions,Sapphire,,,CCP-S,Credit Card Offer,Summer 2020,May,,,,,,,2019-06-01,2019-08-31,Non Air,AMEX,American Express,Credit Card,Credit Card,10119,M,IN,2019-06-22,8000,4000,0,1,Bronze,Saphire,22,2019-06-01,2019-08-31
O0002,,"40,00 Bonus miles  with AmEx Sapphire Card",https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,Accruals ,Promotions,,"40,00 Bonus miles [Highest EVER Bonus]  with AmEx Sapphire Card",Web,4000,,miles,Promotional Status Credits,PSC,miles Related Promotions,Sapphire,,,CCP-S,Credit Card Offer,Summer 2020,May,,,,,,,2019-06-01,2019-08-31,Non Air,AMEX,American Express,Credit Card,Credit Card,45083,M,IN,2019-06-24,16000,4000,1,0,Bronze,Saphire,30,2019-06-01,2019-08-31
O0002,,"40,00 Bonus miles  with AmEx Sapphire Card",https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,Accruals ,Promotions,,"40,00 Bonus miles [Highest EVER Bonus]  with AmEx Sapphire Card",Web,4000,,miles,Promotional Status Credits,PSC,miles Related Promotions,Sapphire,,,CCP-S,Credit Card Offer,Summer 2020,May,,,,,,,2019-06-01,2019-08-31,Non Air,AMEX,American Express,Credit Card,Credit Card,45044,U,IN,2019-06-13,8000,4000,1,0,Bronze,Saphire,38,2019-06-01,2019-08-31
O0002,,"40,00 Bonus miles  with AmEx Sapphire Card",https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,Accruals ,Promotions,,"40,00 Bonus miles [Highest EVER Bonus]  with AmEx Sapphire Card",Web,4000,,miles,Promotional Status Credits,PSC,miles Related Promotions,Sapphire,,,CCP-S,Credit Card Offer,Summer 2020,May,,,,,,,2019-06-01,2019-08-31,Non Air,AMEX,American Express,Credit Card,Credit Card,55105,U,IN,2019-08-21,8000,4000,1,0,Bronze,Saphire,33,2019-06-01,2019-08-31
O0002,,"40,00 Bonus miles  with AmEx Sapphire Card",https://jeswinkv.github.io/per_frame/temp/Discounts,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,https://jeswinkv.github.io/per_frame/temp/Discounts/O0002.PNG,Accruals ,Promotions,,"40,00 Bonus miles [Highest EVER Bonus]  with AmEx Sapphire Card",Web,4000,,miles,Promotional Status Credits,PSC,miles Related Promotions,Sapphire,,,CCP-S,Credit Card Offer,Summer 2020,May,,,,,,,2019-06-01,2019-08-31,Non Air,AMEX,American Express,Credit Card,Credit Card,53602,F,IN,2019-06-01,12000,4000,1,0,Bronze,Saphire,34,2019-06-01,2019-08-31
