,Unnamed: 0,OfferId,OfferName,OfferType,OfferCategory,OfferContent,OfferChannel,Points,ExclusionCategory,BenefitType,PointType,ProgramCode,ProgramName,ProgramTier,ProgramPointType,ProductCategory,ProductCode,ProductName,Season,Month,WeekDay,Holiday,WeekEnd,BirthDay,WeddingAnniversary ,Duration,StartDate,EndDate,Unnamed: 27,PartnerCategory,PartnerCode,PartnerName,PartnerType,TargetedAge,Targetted Nationality,Targetted Preference Group,TargetedGender,Targetted Type,TargetedTier,Targetted Channel,TargetedMaritalStatus,DiscountPercentage
0,0,O0001,Early Access Offer,Accruals ,Promotions,New Product that’s not officially Launched,Loyalty  Portal,50.0,,Points,Loyalty Bonus Status Credits,EAP,Early Access Program,Bronze,TLBS,nan,P045,New Launches,Summer 2020,April ,nan,,,,,nan,2019-06-01,2019-08-31,,Air,QF,Qantas Airways,,40-65,Europe,Corporates,All,nan,Bronze,Loyalty  Portal,Both,0
1,1,O0002,"40,00 Bonus Points  with AMEx Saphire Card",Accruals ,Promotions,"40,00 Bonus Points [Highest EVER Bonus]  with AMEx Saphire Card",Web,4000.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Saphire,,nan,P019,Credit Card Offer,Summer 2020,May,nan,,,,,nan,2019-06-01,2019-08-31,,Non Air,AMEX,American Express,Credit Card,30 - 40,US,Individuals,All,nan,Saphire,Web,Both,0
2,2,O0003," 60,00 Rewards points  with AMEx Platinum Card",Accruals ,Promotions,"Earn 60,000 Membership Rewards points  with AMEx Platinum Card",Web,6000.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,nan,P019,Credit Card Offer,Summer 2021,May,nan,,,,,nan,2019-06-01,2019-08-31,,Non Air,AMEX,American Express,Credit Card,All,US,Individuals,All,nan,Platinum,Web,All,0
3,3,O0004,"35,00  Rewards points with AMEx Gold Card",Accruals ,Promotions,"Earn 35,00 Membership Rewards points with AMEx Gold Card",Web,3500.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,nan,P019,Credit Card Offer,Summer 2022,May,nan,,,,,nan,2019-06-01,2019-08-31,,Non Air,AMEX,American Express,Credit Card,All,US,Individuals,All,nan,Gold,Web,All,0
4,4,O0005,Member Only - Early Birds 50,Redemption,Promotions,Redeem new products listed exclusively for members- First 50,"Mobile App, SMS",100.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Gold,,nan,P043,Member Only Offers,Fall 2020,Dec,nan,New Year,,,,nan,2019-06-01,2019-08-31,,Air,Luftansa,Luftansa,Airlines,All,US,Corporates,All,nan,Gold,"Mobile App, SMS",All,0
5,5,O0006,Member Only - Spring 20,Redemption,Promotions,Redeem new products listed exclusively for members - Sprint Sale 2020,"Mobile App, SMS",200.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Gold,,nan,P043,Member Only Offers,Fall 2020,Dec,nan,,,,,nan,2019-06-01,2019-08-31,,Air,Luftansa,Luftansa,Airlines,40-65,US,Individuals,All,nan,Gold,"Mobile App, SMS",All,0
6,6,O0007,Member Only - Thanks Giving 20,Redemption,Promotions,Redeem new products listed exclusively for members - Thanks Giving sale 2020,"Mobile App, SMS",200.0,,Points,,FFP,Frequent Flyer Program,Gold,,nan,P043,Member Only Offers,,,nan,,,,,nan,2019-06-01,2019-08-31,,Air,,,,All,US,,,nan,Gold,"Mobile App, SMS",All,0
7,7,O0008,Member Only - Independence Day,Redemption,Promotions,Redeem new products listed exclusively for members - Independence day sale,"Mobile App, SMS",300.0,,Points,,FFP,Frequent Flyer Program,Gold,,nan,P043,Member Only Offers,,,nan,,,,,nan,2019-06-01,2019-08-31,,Air,,,,All,,,,nan,Gold,"Mobile App, SMS",All,0
8,8,O0009,Member Only - Fun 50,Redemption,Promotions,Redeem new products listed exclusively for members,"Mobile App, SMS",300.0,,Points,,FFP,Frequent Flyer Program,Gold,,nan,P043,Member Only Offers,,,nan,,,,,nan,2019-06-01,2019-08-31,,Air,,,,All,,,,nan,Gold,"Mobile App, SMS",All,0
9,9,O0010,Join the world for 50,,Coupons,Create an account gain 50 points,Web,100.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P054,Refer a friend,,,nan,,,,,nan,2019-06-01,2019-08-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,0
10,10,O0011,1 point per $1 ,,Coupons,Make a purchase 1 point per $1 . Earn point for every Dollar you spend for a minium of $50 purchase,Web,50.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P052,Redeem offers,,,nan,,,,,nan,2019-07-01,2019-10-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,0
11,11,O0012,Friend-50,,Coupons,Refer a friend earn 50 points,Web,50.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P052,Redeem offers,,,nan,,,,,nan,2019-07-01,2019-10-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,0
12,12,O0013,$10 off 100 points,Redemption,Discounts,Redeem points for discounts,Web,100.0,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P052,Redeem offers,,,nan,,,,,nan,2019-04-01,2019-07-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,10
13,13,O0014,15% Off 100 Points,Redemption,Discounts,Redeem points for discounts,Web,100.0,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P052,Redeem offers,,,nan,,,,,nan,2019-04-01,2019-07-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,15
14,14,O0015,30$ off 280 points,Redemption,Discounts,Redeem points for discounts,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P052,Redeem offers,,,nan,,,,,nan,2019-07-01,2019-08-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Gold,Web,All,5
15,15,O0016,Target 10,Accruals ,Discounts,10% Discount on your next Target Store Visit,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P060,Target Discounts,,,nan,,,,,nan,2019-07-01,2019-08-31,,,TC,Target Corp,Retail,All,US,,,nan,Bronze,Web,All,10
16,16,O0017,Target 15,Accruals ,Discounts,15% Discount on your next Target Store Visit,Web,150.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P060,Target Discounts,,,nan,,,,,nan,2019-07-01,2019-08-31,,,TC,Target Corp,Retail,All,US,,,nan,Bronze,Web,All,15
17,17,O0018,Target 25,Accruals ,Discounts,25% Discount on spending 100 USD,Web,250.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P060,Target Discounts,,,nan,,,,,nan,2019-07-01,2019-08-31,,Non Air,TC,Target Corp,Retail,All,US,Individuals,All,nan,Gold,Web,All,25
18,18,O0019,Walmart 10,Accruals ,Discounts,10% Discount on your next Walmart Store Visit,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P067,Walmart discounts,,,nan,,,,,nan,2019-07-01,2019-12-31,,,TC,Walmart Corp,Retail,All,AUS,All,All,nan,Bronze,Web,All,10
19,19,O0020,Walmart 15,Accruals ,Discounts,15% Discount on your next Walmart Store Visit,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P067,Walmart discounts,,,nan,,,,,nan,2019-07-01,2019-12-31,,,TC,Walmart Corp,Retail,All,AUS,All,All,nan,Bronze,Web,All,15
20,20,O0021,Walmart 25,Accruals ,Discounts,25% Discount on spending 100 USD,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P067,Walmart discounts,,,nan,,,,,nan,2019-07-01,2019-12-31,,Non Air,TC,Walmart Corp,Retail,All,US,Individuals,All,nan,Gold,Web,All,25
21,21,O0022,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,Web,300.0,,Cash,,FFP,Frequent Flyer Program,Gold,,nan,P058,Starbucks offers,Winter,,nan,,,,,nan,2019-07-01,2019-12-31,,,SB,Starbucks,Eat,All,US,Individuals,All,nan,Gold,Web,All,0
22,22,O0023,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,"Mobile App, SMS",300.0,,Cash,,FFP,Frequent Flyer Program,Gold,,nan,P058,Starbucks offers,,,nan,,,,Anniversary Discounts,nan,2019-01-01,2019-03-31,,Non Air,SB,Starbucks,Eat,All,US,Individuals,All,nan,Gold,"Mobile App, SMS",All,0
