customer_id,RFM_Score,offer_id
1,5.0,O0141
2,14.0,O0020
2,14.0,O0129
2,14.0,O0237
2,14.0,O0221
2,14.0,O0133
2,14.0,O0137
2,14.0,O0138
2,14.0,O0118
2,14.0,O0037
2,14.0,O0168
2,14.0,O0216
2,14.0,O0180
3,7.0,O0189
3,7.0,O0173
3,7.0,O0144
4,9.0,O0053
4,9.0,O0210
4,9.0,O0008
5,13.0,O0025
5,13.0,O0110
5,13.0,O0128
5,13.0,O0134
5,13.0,O0155
5,13.0,O0118
5,13.0,O0213
5,13.0,O0212
5,13.0,O0201
5,13.0,O0197
5,13.0,O0148
7,7.0,O0016
7,7.0,O0191
7,7.0,O0183
7,7.0,O0174
8,9.0,O0165
8,9.0,O0123
8,9.0,O0179
9,11.0,O0048
9,11.0,O0013
9,11.0,O0207
9,11.0,O0124
9,11.0,O0158
11,7.0,O0013
11,7.0,O0164
11,7.0,O0192
12,9.0,O0022
12,9.0,O0147
12,9.0,O0120
13,13.0,O0078
13,13.0,O0063
13,13.0,O0130
13,13.0,O0126
13,13.0,O0218
13,13.0,O0188
13,13.0,O0177
13,13.0,O0002
14,13.0,O0115
14,13.0,O0240
14,13.0,O0239
14,13.0,O0146
14,13.0,O0135
14,13.0,O0161
14,13.0,O0181
14,13.0,O0216
14,13.0,O0186
14,13.0,O0009
14,13.0,O0007
14,13.0,O0002
15,10.0,O0126
15,10.0,O0149
15,10.0,O0211
15,10.0,O0196
16,10.0,O0136
16,10.0,O0232
16,10.0,O0217
17,3.0,O0114
18,6.0,O0128
18,6.0,O0215
19,9.0,O0207
19,9.0,O0209
19,9.0,O0154
19,9.0,O0195
20,8.0,O0223
21,8.0,O0205
22,5.0,O0130
23,16.0,O0115
23,16.0,O0115
23,16.0,O0108
23,16.0,O0041
23,16.0,O0050
23,16.0,O0055
23,16.0,O0090
23,16.0,O0108
23,16.0,O0107
23,16.0,O0028
23,16.0,O0011
23,16.0,O0040
23,16.0,O0022
23,16.0,O0239
23,16.0,O0239
23,16.0,O0238
23,16.0,O0238
23,16.0,O0236
23,16.0,O0145
23,16.0,O0221
23,16.0,O0237
23,16.0,O0133
23,16.0,O0127
23,16.0,O0125
23,16.0,O0125
23,16.0,O0226
23,16.0,O0225
23,16.0,O0228
23,16.0,O0227
23,16.0,O0225
23,16.0,O0116
23,16.0,O0116
23,16.0,O0053
23,16.0,O0163
23,16.0,O0119
23,16.0,O0119
23,16.0,O0165
23,16.0,O0052
23,16.0,O0120
23,16.0,O0205
23,16.0,O0206
23,16.0,O0123
23,16.0,O0123
23,16.0,O0044
23,16.0,O0124
23,16.0,O0149
23,16.0,O0152
23,16.0,O0152
23,16.0,O0229
23,16.0,O0170
23,16.0,O0230
23,16.0,O0235
23,16.0,O0218
23,16.0,O0216
23,16.0,O0216
23,16.0,O0213
23,16.0,O0213
23,16.0,O0212
23,16.0,O0208
23,16.0,O0208
23,16.0,O0202
23,16.0,O0200
23,16.0,O0199
23,16.0,O0197
23,16.0,O0197
23,16.0,O0197
23,16.0,O0193
23,16.0,O0193
23,16.0,O0193
23,16.0,O0191
23,16.0,O0191
23,16.0,O0187
23,16.0,O0185
23,16.0,O0178
23,16.0,O0173
23,16.0,O0167
23,16.0,O0166
23,16.0,O0166
23,16.0,O0142
23,16.0,O0142
23,16.0,O0141
23,16.0,O0139
23,16.0,O0033
23,16.0,O0083
23,16.0,O0010
23,16.0,O0084
23,16.0,O0006
23,16.0,O0087
24,7.0,O0120
24,7.0,O0180
24,7.0,O0179
27,16.0,O0025
27,16.0,O0014
27,16.0,O0018
27,16.0,O0133
27,16.0,O0225
27,16.0,O0126
27,16.0,O0126
27,16.0,O0120
27,16.0,O0231
27,16.0,O0212
27,16.0,O0203
27,16.0,O0201
27,16.0,O0198
27,16.0,O0185
28,16.0,O0140
28,16.0,O0063
28,16.0,O0030
28,16.0,O0240
28,16.0,O0145
28,16.0,O0130
28,16.0,O0204
28,16.0,O0120
28,16.0,O0051
28,16.0,O0205
28,16.0,O0150
28,16.0,O0223
28,16.0,O0223
28,16.0,O0231
28,16.0,O0234
28,16.0,O0208
28,16.0,O0201
28,16.0,O0034
29,10.0,O0236
29,10.0,O0117
29,10.0,O0204
29,10.0,O0235
29,10.0,O0233
30,5.0,O0233
31,12.0,O0091
31,12.0,O0027
31,12.0,O0239
31,12.0,O0136
31,12.0,O0205
31,12.0,O0223
31,12.0,O0215
31,12.0,O0086
32,8.0,O0137
32,8.0,O0162
33,4.0,O0143
34,3.0,O0032
34,3.0,O0110
35,5.0,O0012
35,5.0,O0139
36,5.0,O0203
38,12.0,O0054
38,12.0,O0017
38,12.0,O0049
38,12.0,O0207
38,12.0,O0180
38,12.0,O0159
38,12.0,O0159
38,12.0,O0085
40,13.0,O0110
40,13.0,O0020
40,13.0,O0226
40,13.0,O0224
40,13.0,O0206
40,13.0,O0220
40,13.0,O0188
40,13.0,O0148
40,13.0,O0139
42,8.0,O0226
42,8.0,O0142
42,8.0,O0001
43,7.0,O0117
43,7.0,O0154
43,7.0,O0203
43,7.0,O0178
