customer_id,customer_tier,id,offer_id,offer_transaction_date,transaction_amount,points,accrual,redemption,offer_tier,target_customer_age_segment,offer_target_age,osd,oed
60129,Bronze,17306,O0100,10-03-2019,4800,300,1,1,Gold,13-18,Dec-20,10-01-2019,12/31/2019
63563,Bronze,18818,O0100,10/20/2019,3900,300,1,0,Gold,13-18,Dec-20,10-01-2019,12/31/2019
63563,Bronze,18819,O0101,12/20/2019,3300,300,1,0,Gold,13-18,Dec-20,10-01-2019,12/31/2019
60421,Bronze,17552,O0100,12-09-2019,5400,300,1,1,Gold,13-18,Dec-20,10-01-2019,12/31/2019
57914,Bronze,8481,O0049,08-10-2019,20000,4000,1,0,Saphire,<13,30 - 40,06-01-2019,8/31/2019
57914,Bronze,16598,O0080,1/20/2019,5400,300,1,0,Gold,<13,All,01-01-2019,3/31/2019
57914,Bronze,16599,O0076,01-10-2019,1100,100,1,0,Bronze,<13,All,01-01-2019,3/31/2019
57914,Bronze,16600,O0093,1/17/2019,750,50,1,0,Bronze,<13,All,01-01-2019,3/31/2019
57914,Bronze,16601,O0070,02-02-2019,4500,250,0,1,Gold,<13,All,01-01-2019,3/31/2019
57914,Bronze,16602,O0014,5/14/2019,1100,100,1,0,Bronze,<13,20-30,04-01-2019,7/31/2019
57914,Bronze,16603,O0026,4/15/2019,1000,100,1,0,Bronze,<13,All,01-01-2019,5/31/2019
57914,Bronze,16605,O0021,11/15/2019,1100,100,1,0,Gold,<13,All,07-01-2019,12/31/2019
57914,Bronze,16606,O0095,7/18/2019,1000,50,0,1,Bronze,<13,< 12,07-01-2019,10/31/2019
57914,Bronze,16607,O0097,12-02-2019,4500,300,1,0,Gold,<13,< 12,12-01-2019,1/31/2020
20752,Bronze,14396,O0094,3/27/2019,950,50,1,0,Bronze,70+,All,01-01-2019,3/31/2019
47923,Bronze,590,O0042,10-07-2019,500,50,1,0,Bronze,18-25,All,09-01-2019,10/31/2019
47923,Bronze,2057,O0053,06-07-2019,4250,250,0,1,Gold,18-25,40-65,06-01-2019,8/31/2019
47923,Bronze,15304,O0094,2/27/2019,500,50,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
47923,Bronze,15305,O0080,3/30/2019,3900,300,1,0,Gold,18-25,All,01-01-2019,3/31/2019
47923,Bronze,15306,O0070,3/29/2019,4750,250,0,1,Gold,18-25,All,01-01-2019,3/31/2019
47923,Bronze,15307,O0079,3/22/2019,3600,300,1,0,Gold,18-25,All,01-01-2019,3/31/2019
47923,Bronze,15308,O0027,5/15/2019,950,50,1,0,Bronze,18-25,All,01-01-2019,5/31/2019
47923,Bronze,15309,O0014,6/29/2019,1600,100,1,0,Bronze,18-25,20-30,04-01-2019,7/31/2019
47923,Bronze,15313,O0015,07-10-2019,1000,100,0,1,Gold,18-25,20-30,07-01-2019,8/31/2019
47923,Bronze,15434,O0010,7/14/2019,1400,100,1,0,Bronze,18-25,20-30,06-01-2019,8/31/2019
47923,Bronze,16470,O0087,11/21/2019,600,50,1,0,Bronze,18-25,All,9/15/2019,12/31/2019
47923,Bronze,19045,O0002,07-02-2019,16000,4000,1,0,Saphire,18-25,30 - 40,06-01-2019,8/31/2019
48117,Bronze,385,O0042,10-07-2019,650,50,1,0,Bronze,18-25,All,09-01-2019,10/31/2019
48117,Bronze,2787,O0043,10/19/2019,550,50,1,0,Bronze,18-25,All,09-01-2019,10/31/2019
48117,Bronze,4271,O0052,6/27/2019,4250,250,0,1,Gold,18-25,All,06-01-2019,8/31/2019
48117,Bronze,13836,O0082,11-12-2019,850,50,1,0,Bronze,18-25,All,9/15/2019,12/31/2019
48117,Bronze,15350,O0057,02-02-2019,600,50,0,1,Bronze,18-25,20-30,01-01-2019,3/31/2019
48117,Bronze,15351,O0027,4/19/2019,850,50,1,0,Bronze,18-25,All,01-01-2019,5/31/2019
48117,Bronze,15352,O0079,2/26/2019,3600,300,1,0,Gold,18-25,All,01-01-2019,3/31/2019
48117,Bronze,15353,O0080,3/31/2019,4500,300,1,0,Gold,18-25,All,01-01-2019,3/31/2019
48117,Bronze,15354,O0089,3/19/2019,1000,50,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
48117,Bronze,15355,O0071,1/30/2019,3300,300,0,1,Gold,18-25,All,01-01-2019,3/31/2019
48117,Bronze,15356,O0070,2/16/2019,2500,250,0,1,Gold,18-25,All,01-01-2019,3/31/2019
48117,Bronze,15357,O0013,04-05-2019,1100,100,1,0,Bronze,18-25,20-30,04-01-2019,7/31/2019
48117,Bronze,15358,O0014,7/23/2019,1700,100,1,0,Bronze,18-25,20-30,04-01-2019,7/31/2019
48117,Bronze,15360,O0015,7/15/2019,1300,100,1,0,Gold,18-25,20-30,07-01-2019,8/31/2019
48117,Bronze,15362,O0012,10/27/2019,600,50,1,1,Bronze,18-25,20-30,07-01-2019,10/31/2019
48117,Bronze,15435,O0010,8/23/2019,1800,100,1,0,Bronze,18-25,20-30,06-01-2019,8/31/2019
48117,Bronze,16357,O0087,11/21/2019,900,50,1,0,Bronze,18-25,All,9/15/2019,12/31/2019
56360,Bronze,688,O0062,08-11-2019,3000,250,0,1,Gold,18-25,20-30,06-01-2019,8/31/2019
56360,Bronze,15446,O0010,06-08-2019,1200,100,1,0,Bronze,18-25,20-30,06-01-2019,8/31/2019
56360,Bronze,16276,O0078,01-09-2019,850,50,1,1,Bronze,18-25,All,01-01-2019,3/31/2019
56360,Bronze,16277,O0057,02-06-2019,900,50,1,0,Bronze,18-25,20-30,01-01-2019,3/31/2019
59336,Bronze,697,O0062,08-01-2019,3750,250,0,1,Gold,18-25,20-30,06-01-2019,8/31/2019
59336,Bronze,15448,O0010,06-08-2019,1500,100,1,0,Bronze,18-25,20-30,06-01-2019,8/31/2019
59336,Bronze,17087,O0077,1/31/2019,1600,100,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
59336,Bronze,17088,O0080,3/19/2019,4800,300,1,0,Gold,18-25,All,01-01-2019,3/31/2019
59336,Bronze,17089,O0023,3/26/2019,4500,300,0,1,Gold,18-25,All,01-01-2019,3/31/2019
59336,Bronze,17090,O0093,2/18/2019,700,50,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
59336,Bronze,17091,O0060,01-10-2019,750,50,0,1,Bronze,18-25,20-30,01-01-2019,3/31/2019
59336,Bronze,17092,O0066,01-12-2019,1200,100,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
59336,Bronze,17093,O0078,03-07-2019,850,50,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
